,0
Blattodea,2234
Coleoptera,75059
Dermaptera,1339
Diptera,29418
Embiidina,84
Ephemeroptera,798
Hemiptera,41394
Hymenoptera,64694
Lepidoptera,333707
Mantodea,4391
Mecoptera,613
Megaloptera,701
Microcoryphia,57
Neuroptera,1446
Notoptera,1
Odonata,75045
Orthoptera,19723
Phasmida,1316
Plecoptera,220
Psocodea,597
Raphidioptera,127
Siphonaptera,21
Strepsiptera,1
Thysanoptera,124
Trichoptera,546
Zoraptera,1
Zygentoma,133
